응급처치,방법,,,
심폐소생술,호흡이 정지되거나 심장이 멈춘 경우 4-6분 이내에 심폐소생술이 시행되지 않으면 환자의 생존 가능성은 떨어진다.,,,
심폐소생술,"하지만, 구급차가 환자에게 도착하기까지 적어도 4-5분 이상 소요되므로 현장 일반인들의 심폐소생술 시행 여부가 환자의 생존에 영향을 미치게 된다. 환자의 연령이 9세 이상이거나 체중이 30kg 이상인 경우 아래의 심폐소생술의 단계에 따라 심폐소생술을 시행할 수 있다.",,,
심폐소생술,"갑자기 쓰러진 심정지 환자는 심정지가 발생하기 직전까지 정상적인 호흡을 하고 있기 때문에, 폐와 혈액 속에 약 5~6분동안 사용할 수 있는 산고가 남아 있습니다. ",,,
심폐소생술,"목격자가 심폐소생술을 시행해야하는 심정지 발생 직후 몇 분 동안에는 인공호흡을 같이 해주지 않고, 가슴압박만 시행해 주어도 조직세포 손상을 최소화 할 수 있습니다. ",,,
심폐소생술,119 신고 뒤에 지체 없이 가슴압박 소생술을 시행하시면 됩니다.,,,
심폐소생술,양쪽 유두 가운데 흉골 지점 중앙에 손바닥을 대고 다른 손을 그 위에 겹쳐 깍지를 끼고 손가락을 가숨에 닿지 않도록 위로 올린다.,,,
심폐소생술,팔꿈치를 펴고 환자의 몸과 90˚를 이루게 만든다.,,,
심폐소생술,"환자의 몸과 수직을 이룬 상태에서 압박 깊이는 최고 5cm, 압박속도는 분당 100회 이상으로 30회 압박을 실시한다.",,,
심폐소생술,환자에게 접근하기 전에 구조자는 현장이 안전한 상황인지를 확인한다.,,,
심폐소생술,구조자는 일단 현장이 안전하다고 판단되면 환자에게 다가가 반응을 확인한다.,,,
심폐소생술,"반듯이 돌아 눕힌 다음, 양쪽 어깨를 가볍게 잡고 흔들면서 큰소리로 ""괜찮으세요?"" 라고 물어보며 반응을 확인한다.",,,
심폐소생술,일반 구조자가 외상환자를 구조할 때에는 꼭 필요한 경우에만 환자를 이동시키도록 한다.,,,
심폐소생술,"의식이 없다는 것이 확인되면 즉시 큰 소리로 주변 사람에게 119 에 신고할 것을 요청하고, 주위에 자동제세동기가 비치되어 있다면 자동제세동기도 함께 요청",,,
심폐소생술,주변에 아무도 없는 경우에는 즉시 스스로 119에 신고한다.,,,
심폐소생술,먼저 환자의 양쪽 젖꼭지를 연결한 선의 중앙에 한 손바닥을 올려 놓고 그 위에 다른 손을 겹친다.,,,
심폐소생술,"분당 100회의 속도로, 약4-5cm깊이로 압박, 압박과 이완의 시간은 같은 정도로 하고, 각각의 압박 후에는 가슴이 완전히 올라오도록 해야 한다.",,,
심폐소생술,먼저 머리를 젖혔던 손의 엄지와 검지로 환자의 코를 잡아 막는다.,,,
심폐소생술,구조자의 입으로 환자의 입을 완전히 덮은 다음 1초 동안 가슴이 충분히 부풀어 오를 정도로 숨을 불어 넣는다.,,,
심폐소생술,코를 막았던 손가락을 떼고 환자의 올라갔던 가슴이 다시 내려오는지 확인한다.,,,
심폐소생술,한 번 더 시행한다.,,,
심폐소생술,30회의 가슴압박과 2회의 인공 호흡를 반복해서 시행한다.,,,
