건강상태명,설명
아나필락시스,알레르기란 주위 환경에 존재하는 항원(원인 물질)에 대한 면역 매개형 과민반응입니다.
아나필락시스,알레르기 질환은 알레르기 염증이 나타나는 부위에 따라 나눌 수 있습니다.
아나필락시스,"알레르기 염증이 코 속에 나타나면 비염, 기관지에 나타나면 천식, 피부에 나타나면 아토피 피부염, 두드러기라고 합니다.대부분의 사람에서 문제를 일으키지 않는 원인 물질에 대해 감작이란 과정을 통해 쉽게 과민반응을 일으키는 사람이 있습니다."
아나필락시스,"감작을 통해 혈액 속에 E면역글로불린(IgE) 항체가 만들어지고, 면역세포와 알레르기 염증세포들이 활성화됩니다."
아나필락시스,"그후 같은 원인 물질을 다시 접촉하면 알레르기 반응이 일어납니다.어떤 사람은 알레르기 반응이 신체 여러 부위에 빠르게 퍼져 나가면서 피부도 가렵고, 목안이 붓고, 숨도 차고, 어지럽고, 배가 아프거나 쓰러지기도 합니다."
아나필락시스,이렇게 온몸의 여러 장기에 심한 알레르기 반응이 발생하는 질환을 아나필락시스(anaphylaxis)라고 합니다.
아나필락시스,"알레르기 반응은 주로 원인 물질에 대한 특이 E면역글로불린(IgE) 항체 때문에 시작되지만, G면역글로불린(IgG) 항체, 보체 등 다른 매개체에 의해 발생할 수도 있습니다."
아나필락시스,아나필락시스는 원인 물질에 노출된 후 갑작스럽게 나타나는 심한 전신 알레르기 반응입니다.
아나필락시스,"피부 발진이 생겨 가렵고, 목안과 혀가 부으며(부종) 호흡기, 순환기, 소화기 등 신체의 여러 부위에서 증상이 빠르게 진행해 생명을 위협할 수 있으므로 즉각적인 조치가 필요합니다."
복통,복통은 짧은 시간에 생명에 지장을 줄 수 있는 급성 질환에서 기능장애에 의한 만성 질환까지 다양한 질환에서 나타납니다.
복통,"복통은 주로 복강 내에 있는 위, 소장, 대장, 간, 담낭 및 췌장과 같은 소화기관에서 생기지만, 간혹 심장, 폐, 콩팥, 자궁, 난소 등 복강 외에 위치한 기관에서 유발되기도 합니다."
복통,"복통이 주증상일 때 병력, 신체검진, 일반검사 등에 의해 원인을 먼저 확인한 후 적절한 치료가 이루어집니다."
복통,복통의 원인은 매우 다양합니다.
복통,복통은 복부의 질환 뿐만 아니라 복부 외의 질환에서도 나타날 수 있습니다.
복통,"또한, 전신질환이나 신경계 질환에 의해서도 복통이 발생할 수 있습니다."
복통,전형적인 통증의 경우에는 질병이 발생한 장기 부근에서 발생합니다.
복통,"명치 부근의 통증은 주로 위, 십이지장, 췌장의 질환에 의해 유발됩니다."
복통,"우측 상복부 통증은 담낭이나 십이지장, 췌장, 혹은 우측 대장에 의해 유발됩니다."
복통,"배꼽 근처의 통증은 주로 소장, 대동맥, 혹은 췌장에서 발생한 경우가 많습니다."
복통,"충수염은 충수가 위치해 있는 복부 우측 하방에, 게실염은 게실이 주로 발생하는 복부 우측 또는 좌측 하방에, 담낭에 의한 통증은 복부의 우측 상부에 통증을 유발시킵니다."
